order,statement_1,statement_2,statement_3,statement_4,statement_5,statement_6
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""7440.json"", ""statement"": ""The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain"", ""speaker"": ""Eric Cantor"", ""year"": 2013, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""7391.json"", ""statement"": ""Ohio companies export more goods and services globally than 41 other states"", ""speaker"": ""Keith Faber"", ""year"": 2013, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""828.json"", ""statement"": ""Obama says Iran is a tiny country doesnt pose a serious threat"", ""speaker"": ""John Mccain"", ""year"": 2008, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""7185.json"", ""statement"": ""Says the Portland Childrens Levy holds its administrative expenses to less than 5 percent"", ""speaker"": ""Dan Saltzman"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""10380.json"", ""statement"": ""Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago"", ""speaker"": ""Gwen Moore"", ""year"": 2015, ""party"": ""DEM"", ""label"": ""mostly-true""}","{""statement_id"": ""5912.json"", ""statement"": ""Says Mitt Romney would deny gay people the right to adopt children"", ""speaker"": ""Barack Obama"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""FALSE""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""528.json"", ""statement"": ""John McCain stood up to the president and sounded the alarm on global warming  five years ago"", ""speaker"": ""John Mccain"", ""year"": 2008, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""3329.json"", ""statement"": ""The stimulus bill promised to keep unemployment under 8"", ""speaker"": ""George Allen"", ""year"": 2011, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""7077.json"", ""statement"": ""Says I was the first governor in America to endorse Mitt Romney"", ""speaker"": ""Chris Christie"", ""year"": 2012, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""3006.json"", ""statement"": ""I represent the fourthpoorest congressional district in the nation"", ""speaker"": ""Gwen Moore"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""2550.json"", ""statement"": ""Says Rep Jim Weidner proposed a bill taking away health care for 80000 of Oregons children"", ""speaker"": ""Blue Oregon"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""915.json"", ""statement"": ""Our economy could fall 1 trillion short of its full capacity which translates into more than 12000 in lost income for a family of four"", ""speaker"": ""Barack Obama"", ""year"": 2009, ""party"": ""DEM"", ""label"": ""half-true""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""10579.json"", ""statement"": ""More than any Republican governor in the 2014 elections I took a higher percentage of the Republican voteand yet I also carried independents by 12 points"", ""speaker"": ""Scott Walker"", ""year"": 2015, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""7029.json"", ""statement"": ""Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs"", ""speaker"": ""Mitt Romney"", ""year"": 2012, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""4208.json"", ""statement"": ""This is the first time in the history that weve had the raising of a debt limit also with spending cuts"", ""speaker"": ""Allen West"", ""year"": 2011, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""4612.json"", ""statement"": ""According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth"", ""speaker"": ""Alan Grayson"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""8476.json"", ""statement"": ""FACT Nothing in Obamacare forces people out of their health plans"", ""speaker"": ""Valerie Jarrett"", ""year"": 2013, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""4739.json"", ""statement"": ""Youre paying forstate Sen Diane Allens health care and she took yours away"", ""speaker"": ""Carl Lewis"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""barely-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""2180.json"", ""statement"": ""Ninetyfour percent of small businesses will face higher taxes under the Democrats plan"", ""speaker"": ""Randy Neugebauer"", ""year"": 2010, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""5913.json"", ""statement"": ""Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants"", ""speaker"": ""Conservative Renewal Pac"", ""year"": 2012, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""5936.json"", ""statement"": ""Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms"", ""speaker"": ""Craig James"", ""year"": 2012, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""3142.json"", ""statement"": ""The economy we preside over today is better than the one we inherited"", ""speaker"": ""Hank Johnson"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""barely-true""}","{""statement_id"": ""9695.json"", ""statement"": ""We did not seek an impeachment of President Bush"", ""speaker"": ""Sheila Jackson Lee"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""barely-true""}","{""statement_id"": ""4717.json"", ""statement"": ""Attacks on Planned Parenthood come at a time when the poverty rate among women is the highest in nearly two decades and 1 in 5 women under 65 dont have access to health care"", ""speaker"": ""Tim Ryan"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""mostly-true""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""10126.json"", ""statement"": ""My opponent supported policies that increased tuition by 18 percent"", ""speaker"": ""Scott Walker"", ""year"": 2014, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""2196.json"", ""statement"": ""Repealing the sales tax on boats in Rhode Island has spawned 2000 companies 7000 jobs and close to 2 billion a year in sales activity"", ""speaker"": ""Donald Carcieri"", ""year"": 2010, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""3129.json"", ""statement"": ""Since taking office President Obama has signed into law spending increases of nearly 25 percent for domestic government agencies an 84 percent increase when you include the failed stimulus"", ""speaker"": ""Paul Ryan"", ""year"": 2011, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""4001.json"", ""statement"": ""The WIC program is an incredibly cost effective program serving nearly 10 million Americans each year and costing less than 100 per person In my district more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet"", ""speaker"": ""David Cicilline"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""6978.json"", ""statement"": ""Virginia papers called Scott Rigells campaign Mostly False"", ""speaker"": ""Paul Hirschbiel"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""7126.json"", ""statement"": ""Says in January 1992 George H W Bush probably had a 90 percent or even higher approval rating after the first Gulf War"", ""speaker"": ""John Wisniewski"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""barely-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""10631.json"", ""statement"": ""Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan"", ""speaker"": ""William Obrien"", ""year"": 2015, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""2898.json"", ""statement"": ""In the fall of 2009 only 21 percent of Texas high school graduates enrolled in a fouryear public university"", ""speaker"": ""Todd Staples"", ""year"": 2010, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""7293.json"", ""statement"": ""The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance"", ""speaker"": ""Ron Desantis"", ""year"": 2013, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""3287.json"", ""statement"": ""Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today"", ""speaker"": ""Lena Taylor"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""9701.json"", ""statement"": ""Says a 125 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met"", ""speaker"": ""Mary Burke"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""5211.json"", ""statement"": ""More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life"", ""speaker"": ""Sherrod Brown"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""mostly-true""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""5075.json"", ""statement"": ""Says hes proposed the largest employer contribution to the Virginia Retirement System in history"", ""speaker"": ""Bob Mcdonnell"", ""year"": 2012, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""11084.json"", ""statement"": ""Texas still owns all of its public lands If the federal govt wants to create a park they must ask permission"", ""speaker"": ""Glenn Hegar"", ""year"": 2015, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""2998.json"", ""statement"": ""House Speaker Dean Cannon says that freshmen lawmakers account for onethird of the 120member House and that twothirds of the chamber have two years or less experience"", ""speaker"": ""Dean Cannon"", ""year"": 2010, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""4707.json"", ""statement"": ""New Jersey alone my home state is facing a tenandahalf billion dollar shortfall in its 2012 fiscal budget This means more cuts in state and local spending for education which means our kids are hurt"", ""speaker"": ""Robert Menendez"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""7313.json"", ""statement"": ""State revenue projections have missed the mark month after month"", ""speaker"": ""Steve Henson"", ""year"": 2013, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""74.json"", ""statement"": ""Health insurance premiums have almost doubled  since 2000"", ""speaker"": ""Hillary Clinton"", ""year"": 2007, ""party"": ""DEM"", ""label"": ""TRUE""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""5049.json"", ""statement"": ""Says there were only about eight or 10 inflammatory sentences in his newsletters"", ""speaker"": ""Ron Paul"", ""year"": 2011, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""7407.json"", ""statement"": ""Collectively states are spending more on Medicaid than they do on K12 education"", ""speaker"": ""Eric Cantor"", ""year"": 2013, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""5233.json"", ""statement"": ""Says Wisconsin Democrats during the previous administration adopted doubledigit tax increases"", ""speaker"": ""Scott Walker"", ""year"": 2012, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""538.json"", ""statement"": ""Barack Obama passed laws moving people from welfare to work"", ""speaker"": ""Barack Obama"", ""year"": 2008, ""party"": ""DEM"", ""label"": ""mostly-true""}","{""statement_id"": ""4252.json"", ""statement"": ""Central Falls schools are overfunded by state money by as much as 8 million"", ""speaker"": ""Daniel Mckee"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""9735.json"", ""statement"": ""Austin mayoral candidate Mike Martinez takes corporate money"", ""speaker"": ""Eugene Sepulveda"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""pants-on-fire""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""5783.json"", ""statement"": ""The number of new businesses started per year has dropped by 100000 during this presidents term"", ""speaker"": ""Mitt Romney"", ""year"": 2012, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""10358.json"", ""statement"": ""A recent economic uptick appears to coincide with the expectation of a new Republican Congress"", ""speaker"": ""Mitch Mcconnell"", ""year"": 2015, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""9074.json"", ""statement"": ""Florida ranks first in the nation for access to free prekindergarten"", ""speaker"": ""Rick Scott"", ""year"": 2014, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""2631.json"", ""statement"": ""Says Tom Hughes supports paving over thousands of acres with overdevelopment and sprawl"", ""speaker"": ""Bob Stacey"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""11033.json"", ""statement"": ""Weve cut the deficit by twothirds"", ""speaker"": ""Barack Obama"", ""year"": 2015, ""party"": ""DEM"", ""label"": ""mostly-true""}","{""statement_id"": ""5380.json"", ""statement"": ""Says in his years as a Texas legislator we passed three pay increases for teachers and provided them with health insurance"", ""speaker"": ""Paul Sadler"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""mostly-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""4425.json"", ""statement"": ""Since the beginning of the year weve created a net increase of 45000 jobs"", ""speaker"": ""John Kasich"", ""year"": 2011, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""7516.json"", ""statement"": ""There are 36 million jobs sitting vacant in part because there arent enough qualified applicants to fill them"", ""speaker"": ""Virginia Foxx"", ""year"": 2013, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""10671.json"", ""statement"": ""Since President Obama took office in January 2009 the federal government has issued more than 468500 pages of regulations"", ""speaker"": ""Dave Brat"", ""year"": 2015, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""5120.json"", ""statement"": ""One year today since GOP took control of the House and no new jobs"", ""speaker"": ""Frank Pallone Jr"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""625.json"", ""statement"": ""John McCain worries about nuclear waste in Arizona but not in Nevada"", ""speaker"": ""Barack Obama"", ""year"": 2008, ""party"": ""DEM"", ""label"": ""barely-true""}","{""statement_id"": ""7159.json"", ""statement"": ""Social Security has not contributed to the debt and the deficits"", ""speaker"": ""Jeanne Shaheen"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""barely-true""}"
